,region,genre,number_of_movies,avg_rating
187,XEU,Music,37,6.551351351351352
188,AF,Drama,35,7.0514285714285725
189,RS,Horror,1922,5.673777315296567
190,SE,Music,1303,6.57498081350729
191,UY,Adventure,1111,6.490819081908191
192,BG,Music,505,6.584752475247524
193,IS,Drama,442,6.6574660633484175
194,AT,Documentary,1005,7.166965174129355
195,AE,Horror,1126,5.1888987566607465
196,KR,Adult,13,6.292307692307692
197,GB,News,273,7.215018315018314
198,CM,Animation,23,6.386956521739131
199,KP,Romance,16,5.862499999999999
200,GT,Horror,20,5.505
201,NO,Romance,2980,6.446778523489934
202,RU,History,2044,6.621526418786691
203,FR,Musical,1626,6.18720787207872
204,IL,Family,473,6.103805496828752
205,HR,Fantasy,535,6.419439252336449
206,BG,Western,476,6.348319327731093
207,RU,Animation,2063,6.321231216674745
208,ID,Crime,1277,6.230462020360218
209,IQ,War,17,6.7176470588235295
210,MY,Animation,207,6.631884057971015
211,GL,Drama,17,6.382352941176471
212,MV,Drama,7,7.185714285714285
213,LV,Musical,36,6.383333333333334
214,IT,Comedy,18288,5.9523403324584425
215,XYU,Romance,1657,6.6598068799034404
216,CN,Fantasy,1446,6.145712309820197
217,NO,Crime,3090,6.308025889967637
218,EG,Crime,1408,6.427414772727272
219,IR,Horror,236,5.535593220338983
220,IS,Family,124,6.379032258064517
221,KZ,Romance,171,6.65672514619883
222,XWW,Biography,2129,6.808266791921089
223,IS,Animation,204,6.5
224,IR,Thriller,462,6.079220779220778
225,CU,Romance,54,6.625925925925926
226,KG,Comedy,26,6.684615384615383
227,GL,Romance,9,5.9
228,SN,Romance,6,6.566666666666666
229,MK,Fantasy,25,6.932
230,BE,Romance,3074,6.41890045543266
231,HR,Western,175,6.662285714285714
232,PE,War,155,6.838064516129033
233,CSHH,Thriller,201,6.581592039800995
234,IR,Fantasy,227,6.081497797356827
235,XWG,Unknown,290,5.687586206896551
236,AT,Animation,382,6.442670157068064
237,TW,Music,642,6.805451713395639
238,ID,History,254,6.746062992125984
239,PK,Sci-Fi,14,6.664285714285714
240,MY,Crime,276,6.154710144927535
241,MY,Romance,468,6.545726495726494
242,DE,News,84,7.260714285714287
243,AU,Unknown,202,6.332673267326734
244,NL,Family,1358,6.079749631811488
245,PL,Musical,930,6.341935483870969
246,CZ,Thriller,1509,6.178860172299537
247,AR,Documentary,2051,7.0748902974158945
248,YUCS,Family,20,7.1
249,AZ,Fantasy,110,6.752727272727272
250,US,Reality-TV,54,6.74814814814815
251,SA,Family,6,5.766666666666667
252,IT,Unknown,608,5.862500000000001
253,XYU,Documentary,64,7.14375
254,AL,Romance,67,6.555223880597015
255,XKO,Fantasy,14,6.164285714285714
256,BUMM,Drama,6,7.266666666666667
257,BJ,Adventure,20,6.465000000000001
258,BO,Thriller,30,6.03
259,TN,Sport,9,8.155555555555557
260,IQ,Family,6,5.733333333333333
261,MX,Fantasy,2066,5.965053242981608
262,MX,Thriller,5016,5.736323763955341
263,TW,Horror,2657,5.465750846819722
264,UY,Music,198,6.807575757575757
265,BY,Animation,75,6.7093333333333325
